Citi,Country,Latitude,Longitude,Date,Maximum_Temp,Current_Temp,Humidity,Wind_Speed,Clouds
Acapulco de Juárez,MX,16.86,-99.89,1585506228,29.0,29.0,70,3.1,5
Kruisfontein,ZA,-34.0,24.73,1585506387,15.91,15.91,74,2.5,32
Hobart,AU,-42.88,147.33,1585506387,16.0,13.94,59,4.6,14
Albany,US,42.6,-73.97,1585506400,10.0,8.24,76,6.2,90
Ribeira Grande,PT,38.52,-28.7,1585506407,14.85,14.85,76,8.49,47
Port Alfred,ZA,-33.59,26.89,1585506407,17.78,17.78,92,1.79,10
Crib Point,AU,-38.35,145.2,1585506407,17.22,15.92,89,4.26,7
Norman Wells,CA,65.28,-126.83,1585506407,-25.0,-25.0,69,7.2,20
Busselton,AU,-33.65,115.33,1585506408,15.28,15.28,73,1.44,44
Ushuaia,AR,-54.8,-68.3,1585506154,11.0,11.0,57,3.1,75
Natal,BR,-5.79,-35.21,1585506408,28.0,27.5,88,4.1,20
Bethel,US,41.37,-73.41,1585506283,9.44,7.66,93,3.1,90
Durant,US,33.99,-96.37,1585506195,21.11,20.36,28,3.6,1
Lavrentiya,RU,65.58,-171.0,1585506408,-17.19,-17.19,83,1.79,0
Cayenne,GF,4.93,-52.33,1585506408,29.0,29.0,70,6.2,75
Tiksi,RU,71.69,128.87,1585506408,-19.66,-19.66,90,1.43,81
Klaksvík,FO,62.23,-6.59,1585506408,7.0,7.0,75,4.1,30
Kodīnar,IN,20.79,70.7,1585506409,24.56,24.56,63,5.3,0
Westport,US,41.14,-73.36,1585506409,10.0,7.95,100,8.7,90
Cape Town,ZA,-33.93,18.42,1585506409,17.78,17.18,67,8.2,0
Vardø,NO,70.37,31.11,1585506410,-8.0,-8.0,72,5.1,40
Krasnyy Chikoy,RU,50.36,108.75,1585506410,-5.68,-5.68,86,1.22,96
Prince Rupert,CA,54.32,-130.32,1585506401,4.0,4.0,86,4.1,90
Esperance,AU,-33.87,121.9,1585506349,11.0,11.0,93,2.6,0
Mossamedes,AO,-15.2,12.15,1585506410,22.58,22.58,75,3.83,42
Rikitea,PF,-23.12,-134.97,1585506410,26.23,26.23,80,5.24,59
Geraldton,AU,-28.77,114.6,1585506410,15.0,14.43,77,4.1,27
Punta Arenas,CL,-53.15,-70.92,1585506410,12.0,11.83,54,13.4,75
Betlitsa,RU,54.01,33.96,1585506411,8.27,8.27,62,1.23,100
Mogadishu,SO,2.04,45.34,1585506411,28.53,28.53,79,6.41,57
Bluff,NZ,-46.6,168.33,1585506411,8.33,8.33,90,1.34,39
Tokur,RU,53.13,132.9,1585506411,-7.41,-7.41,92,0.57,98
Butaritari,KI,3.07,172.79,1585506411,27.05,27.05,67,2.28,100
San Clemente,US,33.43,-117.61,1585506412,17.78,15.77,55,2.6,40
Abalak,RU,58.13,68.59,1585506412,2.16,2.16,94,4.37,100
Hermanus,ZA,-34.42,19.23,1585506412,17.22,16.0,78,4.97,2
San Quintín,MX,30.48,-115.95,1585506412,16.47,16.47,57,8.01,36
Launceston,AU,-41.45,147.17,1585506412,14.44,13.85,93,6.2,75
Torbay,CA,47.67,-52.73,1585506206,0.0,-1.14,100,12.3,90
Sukaraja,ID,-7.45,108.19,1585506412,24.43,24.43,81,0.76,100
Bredasdorp,ZA,-34.53,20.04,1585506390,15.0,15.0,67,2.1,6
Mahébourg,MU,-20.41,57.7,1585506413,27.0,26.87,94,4.1,75
Svolvær,NO,68.23,14.57,1585506413,-3.33,-3.66,79,4.1,40
Saint-Philippe,RE,-21.36,55.77,1585506413,26.0,23.39,88,1.0,40
Vao,NC,-22.67,167.48,1585506413,23.83,23.83,77,9.93,73
Wakema,MM,16.6,95.18,1585506413,23.29,23.29,95,3.64,0
Mataura,NZ,-46.19,168.86,1585506413,8.33,8.33,90,1.34,20
Tuktoyaktuk,CA,69.45,-133.04,1585506413,-31.0,-31.0,74,3.6,75
Hasaki,JP,35.73,140.83,1585506414,4.0,3.32,86,4.6,75
Tasiilaq,GL,65.61,-37.64,1585506414,3.0,3.0,93,5.7,100
East London,ZA,-33.02,27.91,1585506414,21.33,21.33,79,3.91,10
Dikson,RU,73.51,80.55,1585506414,-15.34,-15.34,95,3.63,98
Upernavik,GL,72.79,-56.15,1585506414,-11.45,-11.45,94,5.16,100
Port Hedland,AU,-20.32,118.57,1585506414,28.0,28.0,88,0.5,4
Ilfracombe,GB,51.21,-4.11,1585506415,8.33,7.15,42,8.7,0
Yellowknife,CA,62.46,-114.35,1585506415,-20.56,-21.85,57,3.1,75
Atuona,PF,-9.8,-139.03,1585506415,27.86,27.86,78,8.15,5
Chui,UY,-33.7,-53.46,1585506415,26.89,26.89,61,1.84,30
Ambanja,MG,-13.68,48.45,1585506415,26.4,26.4,81,1.09,96
Castro,BR,-24.79,-50.01,1585506415,20.97,20.97,68,1.02,100
Carnarvon,AU,-24.87,113.63,1585506416,23.0,23.0,69,5.7,66
Talnakh,RU,69.49,88.4,1585506416,-6.0,-6.0,85,8.0,75
Bambous Virieux,MU,-20.34,57.76,1585506416,27.0,26.84,94,4.1,75
Vila Velha,BR,-20.33,-40.29,1585506416,28.33,28.01,74,4.6,47
Ngunguru,NZ,-35.62,174.5,1585506416,12.22,11.99,95,3.13,16
Haren,DE,52.78,7.23,1585506416,4.0,3.13,29,8.2,46
Marabu,MY,4.41,114.01,1585506416,26.0,25.78,94,1.5,75
Vila Franca do Campo,PT,37.72,-25.43,1585506417,16.0,16.0,72,7.7,40
Tevriz,RU,57.51,72.4,1585506417,1.87,1.87,91,3.52,95
Barrow,US,71.29,-156.79,1585506417,-28.0,-28.0,75,5.1,1
Airai,TL,-8.93,125.41,1585506417,15.91,15.91,56,0.91,100
Singaraja,ID,-8.11,115.09,1585506417,27.15,27.15,78,2.41,81
Chapais,CA,49.78,-74.85,1585506305,5.0,5.0,44,6.2,75
Grand Gaube,MU,-20.01,57.66,1585506417,27.0,26.79,94,4.1,75
Bereda,ES,43.27,-7.54,1585506418,14.0,10.31,54,7.2,82
Saskylakh,RU,71.92,114.08,1585506418,-28.52,-28.52,87,1.64,73
Arrondissement de Reims,FR,49.17,4.08,1585506418,4.44,3.92,69,7.7,75
Husavik,IS,66.04,-17.34,1585506418,8.0,8.0,84,10.8,75
Kapaa,US,22.08,-159.32,1585506418,23.0,22.87,88,8.7,75
Blagoyevo,RU,63.37,47.92,1585506418,-6.28,-6.28,94,2.42,100
Rawson,AR,-43.3,-65.1,1585506418,20.06,20.06,30,2.21,0
San Patricio,MX,19.22,-104.7,1585506419,30.0,30.0,79,5.1,5
Gouyave,GD,12.16,-61.73,1585506419,30.0,30.0,62,8.2,40
Srednekolymsk,RU,67.45,153.68,1585506419,-8.52,-8.52,89,4.41,28
Jardim,BR,-21.48,-56.14,1585506419,29.47,29.47,70,1.36,48
